date,jdobs,filter,absmag,magpsf,sigmamagpsf,limmag,instrument,programid,reducedby,refsys,issub 
"2019 Mar 26",2458568.7689,"g", -17.99, 17.89,0.06, 20.47,"P48+ZTF","2","None","None",True
"2019 Mar 26",2458568.8084,"r", -18.49, 17.39,0.06, 19.95,"P48+ZTF","2","None","None",True
"2019 Mar 26",2458568.8319,"r", -18.41, 17.47,0.20, 17.68,"P48+ZTF","2","None","None",True
"2019 Mar 26",2458568.8400,"r", -18.47, 17.41,0.15, 17.66,"P48+ZTF","2","None","None",True
"2019 Mar 26",2458568.8640,"i", -18.53, 17.35,0.12, 17.88,"P48+ZTF","2","None","None",True
"2019 Mar 26",2458568.8885,"g", -18.03, 17.85,0.10, 19.05,"P48+ZTF","2","None","None",True
"2019 Mar 27",2458569.8935,"r", -18.48, 17.40,0.05, 19.85,"P48+ZTF","2","None","None",True
"2019 Mar 27",2458569.9037,"g", -18.02, 17.86,0.06, 20.00,"P48+ZTF","2","None","None",True
"2019 Mar 30",2458572.8405,"g", -17.90, 17.98,0.07, 20.29,"P48+ZTF","2","None","None",True
"2019 Mar 30",2458572.8414,"g", -17.92, 17.96,0.08, 20.21,"P48+ZTF","1","None","None",True
"2019 Mar 30",2458572.8858,"g", -17.94, 17.94,0.07, 20.50,"P48+ZTF","2","None","None",True
"2019 Mar 30",2458572.9233,"r", -18.39, 17.49,0.05, 20.51,"P48+ZTF","2","None","None",True
"2019 Mar 30",2458572.9242,"r", -18.42, 17.46,0.04, 20.53,"P48+ZTF","1","None","None",True
"2019 Mar 30",2458572.9415,"r", -18.40, 17.48,0.05, 20.41,"P48+ZTF","2","None","None",True
"2019 Mar 30",2458572.9604,"r", -18.41, 17.47,0.06, 20.55,"P48+ZTF","2","None","None",True
"2019 Mar 30",2458572.9991,"g", -17.91, 17.97,0.06, 20.59,"P48+ZTF","2","None","None",True
"2019 Mar 31",2458573.8453,"i", -18.43, 17.45,0.03, 19.79,"P48+ZTF","2","None","None",True
"2019 Mar 31",2458573.8731,"g", -17.88, 17.99,0.06, 20.50,"P48+ZTF","2","None","None",True
"2019 Mar 31",2458573.8813,"g", -17.88, 18.00,0.07, 20.79,"P48+ZTF","2","None","None",True
"2019 Mar 31",2458573.9102,"r", -18.35, 17.53,0.05, 20.42,"P48+ZTF","2","None","None",True
"2019 Mar 31",2458573.9207,"r", -18.40, 17.48,0.05, 20.33,"P48+ZTF","2","None","None",True
